customer_id,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state
00012a2ce6f8dcda20d059ce98491703,248ffe10d632bebe4f7267f1f44844c9,6273,osasco,SP
000161a058600d5901f007fab4c27140,b0015e09bb4b6e47c52844fab5fb6638,35550,itapecerica,MG
0001fd6190edaaf884bcaf3d49edf079,94b11d37cd61cb2994a194d11f89682b,29830,nova venecia,ES
0002414f95344307404f0ace7a26f1d5,4893ad4ea28b2c5b3ddf4e82e79db9e6,39664,mendonca,MG
000379cdec625522490c315e70c7a9fb,0b83f73b19c2019e182fd552c048a22c,4841,sao paulo,SP
0004164d20a9e969af783496f3408652,104bdb7e6a6cdceaa88c3ea5fa6b2b93,13272,valinhos,SP
000419c5494106c306a97b5635748086,14843983d4a159080f6afe4b7f346e7c,24220,niteroi,RJ
00046a560d407e99b969756e0b10f282,0b5295fc9819d831f68eb0e9a3e13ab7,20540,rio de janeiro,RJ
00050bf6e01e69d5c0fd612f1bcfb69c,e3cf594a99e810f58af53ed4820f25e5,98700,ijui,RS
000598caf2ef4117407665ac33275130,7e0516b486e92ed3f3afdd6d1276cfbd,35540,oliveira,MG
0005aefbb696d34b3424dccd0a0e9fd0,616309b2eeb7bd9c05b0fdfbab28e6c6,3052,sao paulo,SP
00062b33cb9f6fe976afdcff967ea74d,f90f55ee274a4ae21510b386134b09cd,2306,sao paulo,SP
00066ccbe787a588c52bd5ff404590e3,15090f48004f3b0fc18a167ef82af4db,93525,novo hamburgo,RS
00072d033fe2e59061ae5c3aff1a2be5,b7c13491fd2aecd9308c75bb4de979d8,45026,vitoria da conquista,BA
0009a69b72033b2d0ec8c69fc70ef768,fa30145b07cad8e972bea351a65216f4,13106,campinas,SP
000bf8121c3412d3057d32371c5d3395,1bc9b2dad6aefbfbc011508e34c8adfc,12335,jacarei,SP
000e943451fc2788ca6ac98a682f2f49,d73c3cf4a0922ece1176bd40eb76ac50,99460,colorado,RS
000f17e290c26b28549908a04cfe36c1,74541fbb7526dabecd0fc96b1192b9a7,98400,frederico westphalen,RS
000fd45d6fedae68fc6676036610f879,cee6fa72fb403ef9554b41581108084b,12970,piracaia,SP
0010068a73b7c56da5758c3f9e5c7375,03dabd77cb0ed7a26fafe19e36b67742,63680,parambu,CE
001028b78fd413e19704b3867c369d3a,e57a935f49ffd73b93c18eaaa04efa84,5387,sao paulo,SP
00104a47c29da701ce41ee52077587d9,655f4f1277487bf6c86c673de5e576a1,38400,uberlandia,MG
001051abfcfdbed9f87b4266213a5df1,4ea5df5937187bd3176aee08d4782104,2251,sao paulo,SP
00114026c1b7b52ab1773f317ef4880b,f4dc0a81a11d3d270ccf5a9c4b5b187b,22470,rio de janeiro,RJ
001226b2341ef620415ce7bbafcfac28,e7897290aea0805ab175017e3f60c3e7,90470,porto alegre,RS
0012a5c13793cf51e253f096a7e740dd,48efc7def11f9a644e1993a3d97361d2,20011,rio de janeiro,RJ
0013280441d86a4f7a8006efdaf1b0fe,06caeba6db23a17bf9bcb3846b768387,5409,sao paulo,SP
0013cd8e350a7cc76873441e431dd5ee,334fed5abcee3aa96c13f1432703e1fd,3585,sao paulo,SP
001450ebb4a77efb3d68be5f7887cb1e,61f5df1a634167ff48d76d79d21226de,18150,ibiuna,SP
00146ad30454993879adaa91c518f68c,5616f75d22507069b5383854a1d8c414,31060,belo horizonte,MG
00155f0530cc7b2bf73cc3f81cb01c52,533b3a42bf5005c302539e093b445d3d,13042,campinas,SP
001574cd5824c0b1ea90dd4f4ba6d5b8,8141dd1e051afe7d72079570fe72d5f1,8248,sao paulo,SP
0015bc9fd2d5395446143e8b215d7c75,490c854539b21598cfbbac518ca25788,12233,sao jose dos campos,SP
0015f7887e2fde13ddaa7b8e385af919,866c923cde750dfc8cfbcf9d5ced0ee4,25903,mage,RJ
0017a0b4c1f1bdb9c395fa0ac517109c,e36a621e869b643b15983fa8085eb541,81510,curitiba,PR
0018c09f333634ca9c80d9ff46e43e9c,688bb6776d5f885e4b46d4c4bac240c2,9190,santo andre,SP
0018f7fde63ca77254dbc47f4ea358b2,392c8818b71b14227a7c701e7d54a3a1,13635,pirassununga,SP
0019c9aaad15b043c48f0a1180f22ce8,4662682dade3cc1bfa04996c5225a849,4141,sao paulo,SP
001a57041f56400917a187dd74e6cbc1,163b27a06a32c2fa565927170b59b5d4,2512,sao paulo,SP
001b4e9b73aa98a6276b241bfd496822,b6d2145b6b5de5dcc494c151af5fdce9,11436,guaruja,SP
001c7f05398c45b42eee0d5a77783bca,ba7ae7b528a2b8359ff63e3014da964c,6719,cotia,SP
001df1ee5c36767aa607001ab1a13a06,46b44ab325f78e5bb3dc0bbef1082082,1030,sao paulo,SP
001f150aebb5d897f2059b0460c38449,0f88eb431888ffb9d726252b7ac8cefe,79031,campo grande,MS
001f35d9f262c558fd065346fbf5801d,ed5340f0e2a52fffa065298aeb875e60,21011,rio de janeiro,RJ
001f6f1a5e902ad14e1f709a7215de11,c6b7dcd3718d1ad87f069d32a8566ce2,12460,campos do jordao,SP
00205ad9ba1ef4340cef86583294cf82,28a4a9aa9bd3640e1f9a9cf542cb25fd,58090,joao pessoa,PB
002236c4f333bc8df6a5939749eb7869,dbedaa0402e0dfa8b90fb9557424c5fc,12330,jacarei,SP
002348c1099e3229276c8ad7d4ddc702,934c19eeef04da89928f995df85cf3f8,13295,itupeva,SP
002408f390f729598bbac1ef9421c6ae,589621a1ce8b9302b75d6920dfd7dd01,89188,agronomica,SC
002450e9ea44cb90b8a07ba0b197e149,5e718c3c3061694c7b7e31d183f88a45,35145,sobralia,MG
002554bdf9eb99618d8189c3a89fdd52,8b57ae2e81c35f05e114c1461ae84b6c,89804,chapeco,SC
0026955706fd4e2fa997f3f4c18d485a,47b6bc410befb9fa30a4c029dba944e5,2926,sao paulo,SP
0026d252429f669d454d726e5e956aa1,6cd042e0832c40d2eebf82b2521a8487,13860,aguai,SP
002834b4d901534f48d9e9a72047b288,4c41d73f1d29f1cd1e725ec445a82f23,8940,biritiba-mirim,SP
0028ff36263a86bf679df7c863a0a0ba,0659763dba9821af49728668716e1084,28895,rio das ostras,RJ
002905287304e28c0218389269b4759b,8bc183d9b9efac18f96f680940191c45,37578,bueno brandao,MG
002937abdae13680e17dccd3868b4825,b6a3c8559ca50f11853e81dcc7674f2f,45530,itacare,BA
0029cdf064769cabdf3186b54d068c99,74c286ab8cc161142213780711964b06,3183,sao paulo,SP
